{Op: StoreNNInX, Operands: [0x0, 0x0, 0x0]}
{Op: StoreNNInX, Operands: [0x1, 0x0, 0x0]}
{Op: StoreMemAddrNNNInRegI, Operands: [0x2, 0x2, 0x2]}
{Op: SetXToRandomNumWithMaskNN, Operands: [0x2, 0x0, 0x1]}
{Op: SkipIfXEqNN, Operands: [0x2, 0x0, 0x1]}
{Op: StoreMemAddrNNNInRegI, Operands: [0x2, 0x1, 0xe]}
{Op: DrawSpriteInXY, Operands: [0x0, 0x1, 0x4]}
{Op: AddNNToX, Operands: [0x0, 0x0, 0x4]}
{Op: SkipIfXEqNN, Operands: [0x0, 0x4, 0x0]}
{Op: JumpNNN, Operands: [0x2, 0x0, 0x4]}
{Op: StoreNNInX, Operands: [0x0, 0x0, 0x0]}
{Op: AddNNToX, Operands: [0x1, 0x0, 0x4]}
{Op: SkipIfXEqNN, Operands: [0x1, 0x2, 0x0]}
{Op: JumpNNN, Operands: [0x2, 0x0, 0x4]}
{Op: JumpNNN, Operands: [0x2, 0x1, 0xc]}
{Op: StoreYinX, Operands: [0x0, 0x4, 0x0]}
{Op: CallSub, Operands: [0x0, 0x1, 0x0]}
{Op: CallSub, Operands: [0x0, 0x4, 0x0]}
{Op: StoreYinX, Operands: [0x0, 0x1, 0x0]}
{Op: Nop, Operands: [0x0, 0x0, 0x0]}
{Op: Nop, Operands: [0x0, 0x0, 0x0]}
{Op: Nop, Operands: [0x0, 0x0, 0x0]}
{Op: Nop, Operands: [0x0, 0x0, 0x0]}
{Op: Nop, Operands: [0x0, 0x0, 0x0]}
{Op: Nop, Operands: [0x0, 0x0, 0x0]}
{Op: Nop, Operands: [0x0, 0x0, 0x0]}
{Op: Nop, Operands: [0x0, 0x0, 0x0]}
{Op: Nop, Operands: [0x0, 0x0, 0x0]}
{Op: Nop, Operands: [0x0, 0x0, 0x0]}
{Op: Nop, Operands: [0x0, 0x0, 0x0]}
{Op: Nop, Operands: [0x0, 0x0, 0x0]}
{Op: Nop, Operands: [0x0, 0x0, 0x0]}
{Op: Nop, Operands: [0x0, 0x0, 0x0]}
{Op: Nop, Operands: [0x0, 0x0, 0x0]}
{Op: Nop, Operands: [0x0, 0x0, 0x0]}
{Op: Nop, Operands: [0x0, 0x0, 0x0]}
{Op: Nop, Operands: [0x0, 0x0, 0x0]}
{Op: Nop, Operands: [0x0, 0x0, 0x0]}
{Op: Nop, Operands: [0x0, 0x0, 0x0]}
{Op: Nop, Operands: [0x0, 0x0, 0x0]}
{Op: Nop, Operands: [0x0, 0x0, 0x0]}
{Op: Nop, Operands: [0x0, 0x0, 0x0]}
{Op: Nop, Operands: [0x0, 0x0, 0x0]}
{Op: Nop, Operands: [0x0, 0x0, 0x0]}
{Op: Nop, Operands: [0x0, 0x0, 0x0]}
{Op: Nop, Operands: [0x0, 0x0, 0x0]}
{Op: Nop, Operands: [0x0, 0x0, 0x0]}
{Op: Nop, Operands: [0x0, 0x0, 0x0]}
{Op: Nop, Operands: [0x0, 0x0, 0x0]}
{Op: Nop, Operands: [0x0, 0x0, 0x0]}
{Op: Nop, Operands: [0x0, 0x0, 0x0]}
